地名,センター,燃えるごみ,燃えないごみ,紙類・布類,缶類,びん・ペットボトル,廃プラスチック,使用済小型家電
坂部,東部知多クリーンセンター,火 金,月1 月3,月1 月3,月1 月3,月1 月3,水,土3
卯之山,東部知多クリーンセンター,火 金,月1 月3,月1 月3,月1 月3,月1 月3,水,土3
阿久比,東部知多クリーンセンター,火 金,月2 月4,月2 月4,月2 月4,月2 月4,水,土3
椋岡,東部知多クリーンセンター,火 金,月2 月4,月2 月4,月2 月4,月2 月4,水,土3
矢口,東部知多クリーンセンター,火 金,水1 水3,水1 水3,水1 水3,水1 水3,木,土3
高岡,東部知多クリーンセンター,火 金,水1 水3,水1 水3,水1 水3,水1 水3,木,土3
大古根,東部知多クリーンセンター,火 金,水1 水3,水1 水3,水1 水3,水1 水3,木,土3
植,東部知多クリーンセンター,火 金,水2 水4,水2 水4,水2 水4,水2 水4,木,土3
横松,東部知多クリーンセンター,火 金,木1 木3,木1 木3,木1 木3,木1 木3,水,土3
萩,東部知多クリーンセンター,火 金,木1 木3,木1 木3,木1 木3,木1 木3,水,土3
宮津,東部知多クリーンセンター,火 金,木2 木4,木2 木4,木2 木4,木2 木4,水,土3
宮津団地,東部知多クリーンセンター,火 金,木1 木3,木1 木3,木1 木3,木1 木3,水,土3
宮津山田,東部知多クリーンセンター,火 金,木2 木4,木2 木4,木2 木4,木2 木4,水,土3
陽なたの丘,東部知多クリーンセンター,火 金,木2 木4,木2 木4,木2 木4,木2 木4,水,土3
白沢,東部知多クリーンセンター,月 木,金1 金3,金1 金3,金1 金3,金1 金3,水,土3
白沢台,東部知多クリーンセンター,月 木,金1 金3,金1 金3,金1 金3,金1 金3,水,土3
草木,東部知多クリーンセンター,月 木,金2 金4,金2 金4,金2 金4,金2 金4,水,土3
板山,東部知多クリーンセンター,月 木,火2 火4,火2 火4,火2 火4,火2 火4,水,土3
福住,東部知多クリーンセンター,月 木,火1 火3,火1 火3,火1 火3,火1 火3,水,土3
福住園高台,東部知多クリーンセンター,月 木,火1 火3,火1 火3,火1 火3,火1 火3,水,土3
高根台,東部知多クリーンセンター,月 木,火2 火4,火2 火4,火2 火4,火2 火4,水,土3
阿久比団地,東部知多クリーンセンター,月 木,火1 火3,火1 火3,火1 火3,火1 火3,水,土3
メイツ巽ヶ丘,東部知多クリーンセンター,月 木,火2 火4,火2 火4,火2 火4,火2 火4,水,土3
